layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
BERT-base_layer_02,come,3,300,0.6067347256514253,0.7450588255106325,-0.1383240998592071,1,9.999000099990002e-05,10000,7.261596576691769e-06,0.0008867858986896,-0.0020658533625914,0.0001251904023272,0.0013860747936941,come_back;come_in;come_out,2,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_03,come,3,300,0.5352787930557397,0.7714104992360498,-0.23613170618031,1,9.999000099990002e-05,10000,1.5105503510597896e-05,0.0012284969215386,-0.0030068045038732,0.0002420794753713,0.00172516062741,come_back;come_in;come_out,3,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_04,come,3,300,0.5676517036027146,0.7582479010715494,-0.1905961974688349,1,9.999000099990002e-05,10000,1.4313930308005063e-05,0.0010400309284532,-0.0025206140261958,0.0001973031521883,0.0015224162565653,come_back;come_in;come_out,4,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_05,come,3,300,0.610417206854266,0.7430691621506516,-0.1326519552963855,1,9.999000099990002e-05,10000,1.152064878549432e-05,0.0008178905289056,-0.0019465297350054,0.0001391204543986,0.0012473007993789,come_back;come_in;come_out,5,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_06,come,3,300,0.6318337545471396,0.7341739552626795,-0.1023402007155398,1,9.999000099990002e-05,10000,9.701422992643893e-06,0.0007533720567958,-0.0017351457518337,0.0001275027161415,0.0011522579630389,come_back;come_in;come_out,6,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_07,come,3,300,0.6457356935285171,0.7287617862040431,-0.0830260926755259,1,9.999000099990002e-05,10000,5.454627790915301e-06,0.0006878703000561,-0.0015986926306679,0.0001019101139321,0.0010702730148605,come_back;come_in;come_out,7,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_08,come,3,300,0.6559406688798912,0.7256122758179697,-0.0696716069380784,1,9.999000099990002e-05,10000,6.1255201606102105e-06,0.0006526306166344,-0.001545443708167,8.81609838370411e-05,0.0010365381703292,come_back;come_in;come_out,8,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_09,come,3,300,0.6648581640685082,0.7230341375701075,-0.0581759735015992,1,9.999000099990002e-05,10000,7.429332009205114e-06,0.0006102421505312,-0.0013807287061276,7.695124791841959e-05,0.0009841006902294,come_back;come_in;come_out,9,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_10,come,3,300,0.6676850435356108,0.7225178149360453,-0.0548327714004345,1,9.999000099990002e-05,10000,8.815505822879321e-06,0.0005684315119733,-0.001286631662516,7.071888411215058e-05,0.0009273050406285,come_back;come_in;come_out,10,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_11,come,3,300,0.6690864180920826,0.7215282350032158,-0.0524418169111332,1,9.999000099990002e-05,10000,7.435392438900085e-06,0.00054318000431,-0.0012140679292219,7.322275642795751e-05,0.0008885721781003,come_back;come_in;come_out,11,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_12,come,3,300,0.670894451389982,0.7188068406689094,-0.0479123892789272,1,9.999000099990002e-05,10000,9.882353340376612e-06,0.0005172259568666,-0.0011574285766477,6.916755268181155e-05,0.0008517780103397,come_back;come_in;come_out,12,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_01,give,4,392,0.6259743402794409,0.7244590062296011,-0.0984846659501603,1,9.999000099990002e-05,10000,9.804989620330312e-06,0.000617213459737,-0.0013540761248606,6.806388475313503e-05,0.0010371433364987,give_up;give_in;give_out;give_away,1,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_02,give,4,392,0.5764054651174589,0.7392278657973556,-0.1628224006798965,1,9.999000099990002e-05,10000,1.1135668749976964e-05,0.0007080745078034,-0.0015476347470672,8.730300560540091e-05,0.0011912254878954,give_up;give_in;give_out;give_away,2,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_03,give,4,392,0.4625030882239265,0.7673088386739105,-0.304805750449984,1,9.999000099990002e-05,10000,1.451961693491684e-05,0.0011545536246798,-0.0026435342639295,0.0001853061072825,0.0017729714097565,give_up;give_in;give_out;give_away,3,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_04,give,4,392,0.4761145835900605,0.7637333063391647,-0.2876187227491041,1,9.999000099990002e-05,10000,1.6977766430709246e-05,0.0011147935594399,-0.0025861127508769,0.0001891929063621,0.0016863155936676,give_up;give_in;give_out;give_away,4,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_05,give,4,392,0.5186613716831208,0.7546035125901853,-0.2359421409070645,1,9.999000099990002e-05,10000,1.4123168071630528e-05,0.000955833146972,-0.0021693218964509,0.0001546423626164,0.0014544266121485,give_up;give_in;give_out;give_away,5,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_06,give,4,392,0.5558118750095289,0.7461623889291258,-0.1903505139195969,1,9.999000099990002e-05,10000,1.4192212476367752e-05,0.0008172874306888,-0.0018692121185162,0.0001355081988861,0.0012727215998872,give_up;give_in;give_out;give_away,6,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_07,give,4,392,0.5841102554409239,0.7390769196612609,-0.1549666642203369,1,9.999000099990002e-05,10000,1.1269038823081563e-05,0.0007123053395396,-0.0016538288899951,0.0001145295769326,0.001098972678204,give_up;give_in;give_out;give_away,7,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_08,give,4,392,0.6140157998041113,0.7315669620457499,-0.1175511622416386,1,9.999000099990002e-05,10000,9.49557691986087e-06,0.0005922209580105,-0.0013486362361538,8.080254271752781e-05,0.0009522265934961,give_up;give_in;give_out;give_away,8,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_09,give,4,392,0.6299971034802764,0.727092846831091,-0.0970957433508145,1,9.999000099990002e-05,10000,7.89575535947315e-06,0.0005248900082657,-0.0011753695333687,6.828403859383668e-05,0.0008671027705978,give_up;give_in;give_out;give_away,9,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_10,give,4,392,0.6417000049219402,0.7248412814600704,-0.0831412765381301,1,9.999000099990002e-05,10000,5.543012839331143e-06,0.0004687256125132,-0.001042394807425,5.631144789799765e-05,0.0007773132229642,give_up;give_in;give_out;give_away,10,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_11,give,4,392,0.6451702245011888,0.723528903635522,-0.0783586791343332,1,9.999000099990002e-05,10000,3.445741985511144e-06,0.0004495742411308,-0.0010009977497631,4.864461874729733e-05,0.0007393463180648,give_up;give_in;give_out;give_away,11,9.999000099990002e-05,9.999000099990002e-05
BERT-base_layer_12,give,4,392,0.6447809893064729,0.7227604719827493,-0.0779794826762764,1,9.999000099990002e-05,10000,4.68850359660996e-06,0.0004475104542384,-0.0010073404605123,5.041425552186885e-05,0.0007386125389217,give_up;give_in;give_out;give_away,12,9.999000099990002e-05,9.999000099990002e-05
