layer,group,n_classes,n_samples,intra_obs,inter_obs,gdv_obs,rank,p_rank,n_perm,null_mean,null_sd,null_p2p5,null_p50,null_p97p5,classes_present,layer_idx,q_fdr_all,q_fdr_group
CxG_layer_01_2-10000,give,4,392,0.6712449892343233,0.7125760760361696,-0.0413310868018462,1,9.999000099990002e-05,10000,4.557971793108836e-06,0.0005327721133158,-0.0011809692994539,5.4812648472743646e-05,0.0008990966330912,give_up;give_in;give_out;give_away,1,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_02_2-10000,give,4,392,0.6807299152398405,0.7107099182608558,-0.0299800030210153,1,9.999000099990002e-05,10000,1.073626895838871e-06,0.0004444678912328,-0.0009755656316238,3.838889923623154e-05,0.000761546561128,give_up;give_in;give_out;give_away,2,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_03_2-10000,give,4,392,0.68423762192756,0.7094080944667003,-0.0251704725391403,1,9.999000099990002e-05,10000,3.050780809897773e-06,0.0004575529429341,-0.0009880281973039,4.127806437194454e-05,0.0007941432724825,give_up;give_in;give_out;give_away,3,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_04_2-10000,give,4,392,0.6853993130502946,0.7084783210542426,-0.0230790080039479,1,9.999000099990002e-05,10000,1.952445157212879e-06,0.0004683105866316,-0.0010276898230289,4.230388066366388e-05,0.0008117495730148,give_up;give_in;give_out;give_away,4,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_05_2-10000,give,4,392,0.639009050202197,0.7224689876703899,-0.0834599374681929,1,9.999000099990002e-05,10000,6.397485782407969e-06,0.0005531032614248,-0.0012549831968897,6.68726451811519e-05,0.0009238444183695,give_up;give_in;give_out;give_away,5,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_06_2-10000,give,4,392,0.5836978866279259,0.7371567290132568,-0.1534588423853308,1,9.999000099990002e-05,10000,8.687002382152476e-06,0.0007371787586436,-0.0017122533320223,0.0001154411782012,0.0011345447847451,give_up;give_in;give_out;give_away,6,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_07_2-10000,give,4,392,0.5854181453516992,0.7368922272126948,-0.1514740818609955,1,9.999000099990002e-05,10000,1.0466262329821724e-05,0.0006937426087071,-0.001604897691852,0.0001128129574002,0.0010884878752077,give_up;give_in;give_out;give_away,7,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_08_2-10000,give,4,392,0.606227548490656,0.7310501035100864,-0.1248225550194304,1,9.999000099990002e-05,10000,6.3355890439956204e-06,0.0006101998415942,-0.0014020163329845,8.719735352676858e-05,0.0009607646401506,give_up;give_in;give_out;give_away,8,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_09_2-10000,give,4,392,0.6349907629670841,0.7255579818349318,-0.0905672188678477,1,9.999000099990002e-05,10000,6.889582475923678e-06,0.0004545855996749,-0.001023956320678,5.5730110681860375e-05,0.0007529897655014,give_up;give_in;give_out;give_away,9,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_10_2-10000,give,4,392,0.6349907629670841,0.7255579818349318,-0.0905672188678477,1,9.999000099990002e-05,10000,6.889582475923678e-06,0.0004545855996749,-0.001023956320678,5.5730110681860375e-05,0.0007529897655014,give_up;give_in;give_out;give_away,10,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_11_2-10000,give,4,392,0.6402737686677872,0.7239689716243264,-0.0836952029565392,1,9.999000099990002e-05,10000,6.071438438272342e-06,0.0004294478333394,-0.000959923144612,5.296936977779663e-05,0.0007129251135526,give_up;give_in;give_out;give_away,11,9.999000099990002e-05,9.999000099990002e-05
CxG_layer_12_2-10000,give,4,392,0.6456131854601037,0.7209794813119779,-0.075366295851874,1,9.999000099990002e-05,10000,6.407145858701178e-06,0.0004017931411439,-0.0009010867267759,5.073100573404346e-05,0.0006616810044982,give_up;give_in;give_out;give_away,12,9.999000099990002e-05,9.999000099990002e-05
